"N","seed_theta","seed_Y","K","fold","predictive_llk","predictive_llk_dist_mean"
800,3,5,6,1,-6740.35108234439,-6680.11303362852
800,3,5,6,2,-6663.70437293842,-6628.63889920121
800,3,5,6,3,-6676.14108743757,-6694.45301565738
800,3,5,6,4,-6668.04684829648,-6688.43180583079
800,3,5,6,5,-6678.76303563642,-6705.23625772702
400,4,1,6,1,-3443.37800219052,-3458.725743513
400,4,1,6,2,-3474.52146903113,-3478.2437422417
400,4,1,6,3,-3350.33916569835,-3363.321521649
400,4,1,6,4,-3463.5197847065,-3476.92457767123
400,4,1,6,5,-3382.42696298182,-3402.89514632841
400,4,2,6,1,-3484.18551450163,-3485.9319256441
400,4,2,6,2,-3462.92265414351,-3454.47898762211
400,4,2,6,3,-3446.85041569621,-3450.33855594473
400,4,2,6,4,-3468.57322962974,-3479.66699088152
400,4,2,6,5,-3441.81901908469,-3454.26650653749
400,4,3,6,1,-3487.06362189391,-3507.7713189744
400,4,3,6,2,-3406.3044104246,-3421.75779156008
400,4,3,6,3,-3429.1244501671,-3446.01951268954
400,4,3,6,4,-3436.31171297591,-3449.67805700103
400,4,3,6,5,-3400.69563018529,-3418.16592494144
400,4,4,6,1,-3452.73552508155,-3474.30269064281
400,4,4,6,2,-3399.72131285873,-3420.69123209541
400,4,4,6,3,-3434.25604985293,-3457.32346692346
400,4,4,6,4,-3412.56947966994,-3432.45014793264
400,4,4,6,5,-3374.76883639381,-3397.74558869442
400,4,5,6,1,-3415.29641096958,-3445.75657671941
400,4,5,6,2,-3401.73626967781,-3429.74092769759
400,4,5,6,3,-3446.14681112958,-3469.74621878801
400,4,5,6,4,-3420.42634335581,-3438.90772715786
