N,seed_theta,seed_Y,K_candidate,fold,predictive_llk
400,3,2,6,3,-3393.33453432067
400,3,2,6,4,-3401.23885039934
400,3,2,6,5,-3425.96432409291
400,3,2,7,1,-3404.86960127065
400,3,2,7,2,-3447.58876319289
400,3,2,7,3,-3409.61011902835
400,3,2,7,4,-3398.60770546479
400,3,2,7,5,-3436.06283713407
400,3,2,8,1,-3437.70093108521
400,3,2,8,2,-3453.61400853509
400,3,2,8,3,-3403.05766838564
400,3,2,8,4,-3412.78961020851
400,3,2,8,5,-3433.12592133541
400,3,3,4,1,-3402.92099150944
400,3,3,4,2,-3404.15937844559
400,3,3,4,3,-3410.67732767065
400,3,3,4,4,-3377.17530044167
400,3,3,4,5,-3303.16004151249
400,3,3,5,1,-3391.73359673393
400,3,3,5,2,-3417.63076470139
400,3,3,5,3,-3400.68880541281
400,3,3,5,4,-3380.43857876493
400,3,3,5,5,-3301.72472727257
400,3,3,6,1,-3410.37127427225
400,3,3,6,2,-3416.29017622204
400,3,3,6,3,-3416.85680043457
400,3,3,6,4,-3396.53106744321
400,3,3,6,5,-3307.85112644379
400,3,3,7,1,-3400.86553162481
400,3,3,7,2,-3413.92621043943
400,3,3,7,3,-3420.07980529158
400,3,3,7,4,-3420.04458984555
400,3,3,7,5,-3328.02549489168
400,3,3,8,1,-3405.42953935831
400,3,3,8,2,-3421.96064761845
400,3,3,8,3,-3447.58895857087
400,3,3,8,4,-3398.70326256678
400,3,3,8,5,-3318.34506404105
400,3,4,4,1,-3386.11129061069
400,3,4,4,2,-3437.73590834101
400,3,4,4,3,-3425.21126818516
400,3,4,4,4,-3382.61745247356
400,3,4,4,5,-3379.05807547518
400,3,4,5,1,-3380.34392628119
400,3,4,5,2,-3414.89276978828
400,3,4,5,3,-3404.03332276695
400,3,4,5,4,-3387.93611050831
400,3,4,5,5,-3368.97567485128
400,3,4,6,1,-3395.12421262143
400,3,4,6,2,-3404.62126369784
400,3,4,6,3,-3414.26415363826
400,3,4,6,4,-3362.84633070496
400,3,4,6,5,-3363.91939683289
400,3,4,7,1,-3375.50359345833
400,3,4,7,2,-3409.03631577718
400,3,4,7,3,-3387.30101498865
400,3,4,7,4,-3367.08258292616
400,3,4,7,5,-3368.87611774109
400,3,4,8,1,-3381.54586669121
400,3,4,8,2,-3418.01647484995
400,3,4,8,3,-3394.16231803335
400,3,4,8,4,-3377.50058322602
400,3,4,8,5,-3387.78747015903
400,3,5,4,1,-3388.83394118318
400,3,5,4,2,-3343.17880405611
400,3,5,4,3,-3327.32685600809
400,3,5,4,4,-3404.19258983212
400,3,5,4,5,-3352.9195449851
400,3,5,5,1,-3399.52050902546
400,3,5,5,2,-3336.34139360533
400,3,5,5,3,-3329.32084688789
400,3,5,5,4,-3387.83676498555
400,3,5,5,5,-3335.30013204517
400,3,5,6,1,-3385.91464668774
400,3,5,6,2,-3349.85681812105
400,3,5,6,3,-3320.95499482993
400,3,5,6,4,-3399.75660423306
400,3,5,6,5,-3344.61377576061
400,3,5,7,1,-3394.88353217554
400,3,5,7,2,-3373.1333150325
400,3,5,7,3,-3332.5505728296
400,3,5,7,4,-3408.14678611588
400,3,5,7,5,-3351.05503189157
400,3,5,8,1,-3401.53698116589
400,3,5,8,2,-3368.84957476082
400,3,5,8,3,-3360.63060846884
400,3,5,8,4,-3413.23831462193
400,3,5,8,5,-3357.83588254587
400,4,1,4,1,-3428.96683702552
400,4,1,4,2,-3451.8552993221
400,4,1,4,3,-3350.68305642497
400,4,1,4,4,-3452.87437512318
400,4,1,4,5,-3375.61108113777
400,4,1,5,1,-3448.85280542885
400,4,1,5,2,-3443.9199657832
400,4,1,5,3,-3361.10408106098
400,4,1,5,4,-3450.38496356921
400,4,1,5,5,-3370.5310672643
400,4,1,6,1,-3453.68365975338
400,4,1,6,2,-3455.051960084
400,4,1,6,3,-3356.95621277724
400,4,1,6,4,-3459.28276614759
400,4,1,6,5,-3382.72722687179
400,4,1,7,1,-3455.28194248873
400,4,1,7,2,-3466.11138259773
400,4,1,7,3,-3362.64733217959
